Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1,13374,44.7,32.3,38.43,63.36,55.48,100,97.34,0,34.59,1.64,53.88,100,1.64,0,0,100,63.64,31.82,27.3
2,565,56.58,94.56,31.14,44.02,100,75,25,0,25,0,100,50,0,50,42.86,28.57,100,57.14,0
3,17970,24.63,29.06,-27.16,71.99,28.72,21.41,36.27,0,100,100,64.18,88.06,0,40.3,28.57,42.86,100,85.71,0
4,20506,-16.54,-2.8,-13.5,-33.3,6.27,48.95,50.45,0,100,80.65,42.11,100,14.04,0,69.98,0,90,40,100
5,17009,11.19,84.38,-37.16,-13.66,100,3.03,0,42.42,37.12,100,27.78,68.52,0,28.06,100,72.18,44.36,22.11,0
6,17254,6.75,52.61,-28.82,-3.53,65.49,0,53.98,100,76.34,100,94.44,59.72,0,91.76,7.69,40.99,87.1,0,100
7,286,-13.65,-48.9,-23.01,30.94,0,72.12,100,86.06,72.12,64.08,33.33,0,83.33,100,0,0,0,100,0
8,399,-15.81,21.59,-35.08,-33.92,48.59,100,82.86,65.73,0,97.53,48.77,60.96,0,100,39.4,39.4,59.1,0,100
9,9983,-10.3,91.46,-56.04,-66.32,100,1.74,1.74,0,5.27,100,4.83,8.05,3.23,0,100,8.33,0,4.18,41.7
10,690,24.89,72.76,15.11,-13.2,100,52.17,86.96,0,21.74,8.82,44.12,0,55.88,100,100,0,100,83.33,50
11,2978,11.19,51.81,28.38,-46.62,90.41,0,52.74,100,1.89,0,55.6,12.36,50.49,100,45.29,45.29,36.21,0,100
12,422,36.74,32.27,32.55,45.39,60,10.59,75,100,0,37.41,37.41,100,80,0,33.33,100,67.46,0,0
13,1249,-29.28,-28.69,-35.75,-23.39,0,66.67,100,38.89,79.25,100,18.18,0,90.91,83.24,100,100,0,0,1.61
14,15354,-0.5,20.69,22.33,-44.51,39.29,0,67.86,100,28.95,4.21,0,100,18.95,40.1,57.94,0,63.74,36.21,100
15,437,49.74,59.99,24.83,64.42,79.65,100,0,41.17,51.46,0,100,34.74,1.02,68.45,0,24.51,100,50.42,25.63
16,1784,42.08,52.14,-0.62,74.74,69.23,100,0,38.46,47.95,47.37,100,36.84,0,37.55,0,100,62.5,62.5,25.11
17,18776,14.33,50.91,-18.88,10.96,90.55,98.78,86.18,100,0,100,75.12,61.16,58.84,0,99.89,100,90,15,0
18,20587,34.64,74.74,17.64,11.55,97.89,100,82.24,2.11,0,55.5,100,80.41,23.93,0,99.98,91.64,100,16.67,0
19,24704,-9.54,20.91,23.2,-72.72,25.27,0,62.9,30.21,100,2.5,0,100,10,4.38,100,10,0,27.5,92.53
20,13804,-6.73,90.89,-57.38,-53.71,100,1.79,5.36,0,1.79,100,0,3.85,0,0,100,0,0,0,0
